[rosmaster.main][INFO] 2020-05-27 15:25:35,343: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-05-27 15:25:35,343: Starting ROS Master Node
[rosmaster.master][INFO] 2020-05-27 15:25:39,948: +SERVICE [/gazebo/clear_body_wrenches] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,949: +SERVICE [/gazebo/reset_simulation] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,949: +SERVICE [/gazebo/reset_world] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,962: publisherUpdate[/clock] -> http://rosdscomputer:38723/ ['http://rosdscomputer:44911/']
[rosmaster.master][INFO] 2020-05-27 15:25:39,963: publisherUpdate[/clock] -> http://rosdscomputer:38723/ ['http://rosdscomputer:44911/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-05-27 15:25:39,963: publisherUpdate[/clock] -> http://rosdscomputer:44911/ ['http://rosdscomputer:44911/']
[rosmaster.master][INFO] 2020-05-27 15:25:39,963: publisherUpdate[/clock] -> http://rosdscomputer:44911/ ['http://rosdscomputer:44911/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-05-27 15:25:39,981: +SERVICE [/gazebo/set_parameters] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,982: +PUB [/gazebo/parameter_descriptions] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,983: +PUB [/gazebo/parameter_updates] /gazebo http://rosdscomputer:44911/
[rosmaster.master][INFO] 2020-05-27 15:25:39,991: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2020-05-27 15:25:39,991: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2020-05-27 15:25:39,992: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2020-05-27 15:25:39,993: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2020-05-27 15:25:39,993: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2020-05-27 15:25:39,994: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2020-05-27 15:25:39,995: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2020-05-27 15:25:39,995: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2020-05-27 15:25:39,996: +PARAM [/gazebo/sor_pgs_w] by /gazebo
[rosmaster.master][INFO] 2020-05-27 15:25:39,997: +PARAM [/gazebo/sor_pgs_rms_error_tol] by /gazebo
[rosmaster.master][INFO] 2020-05-27 15:25:39,998: +PARAM [/gazebo/cfm] by /gazebo
[rosmaster.master][INFO] 2020-05-27 15:25:39,998: +PARAM [/gazebo/erp] by /gazebo
[rosmaster.master][INFO] 2020-05-27 15:25:39,999: +PARAM [/gazebo/contact_surface_layer] by /gazebo
[rosmaster.master][INFO] 2020-05-27 15:25:40,000: +PARAM [/gazebo/contact_max_correcting_vel] by /gazebo
[rosmaster.master][INFO] 2020-05-27 15:25:40,000: +PARAM [/gazebo/max_contacts] by /gazebo
[rosmaster.master][INFO] 2020-05-27 15:25:40,002: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2020-05-27 15:25:40,003: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2020-05-27 15:25:40,004: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2020-05-27 15:25:40,004: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2020-05-27 15:25:40,005: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2020-05-27 15:25:40,005: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2020-05-27 15:25:40,006: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2020-05-27 15:25:40,007: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2020-05-27 15:25:40,007: +PARAM [/gazebo/sor_pgs_w] by /gazebo
[rosmaster.master][INFO] 2020-05-27 15:25:40,008: +PARAM [/gazebo/sor_pgs_rms_error_tol] by /gazebo
[rosmaster.master][INFO] 2020-05-27 15:25:40,008: +PARAM [/gazebo/cfm] by /gazebo
[rosmaster.master][INFO] 2020-05-27 15:25:40,009: +PARAM [/gazebo/erp] by /gazebo
[rosmaster.master][INFO] 2020-05-27 15:25:40,010: +PARAM [/gazebo/contact_surface_layer] by /gazebo
[rosmaster.master][INFO] 2020-05-27 15:25:40,010: +PARAM [/gazebo/contact_max_correcting_vel] by /gazebo
[rosmaster.master][INFO] 2020-05-27 15:25:40,011: +PARAM [/gazebo/max_contacts] by /gazebo
